Source,Target,Type,Id,Label,timeset,Weight
n50,n56,Directed,855,,,2
n50,n57,Directed,856,,,2
n50,n58,Directed,857,,,2
n50,n59,Directed,858,,,2
n50,n61,Directed,859,,,2
n50,n64,Directed,860,,,2
n51,n3,Directed,861,,,2
n51,n4,Directed,862,,,2
n51,n6,Directed,863,,,2
n51,n8,Directed,864,,,2
n51,n11,Directed,865,,,2
n51,n12,Directed,866,,,2
n51,n14,Directed,867,,,2
n51,n15,Directed,868,,,2
n51,n17,Directed,869,,,2
n51,n19,Directed,870,,,2
n51,n26,Directed,871,,,2
n51,n27,Directed,872,,,2
n51,n31,Directed,873,,,2
n51,n32,Directed,874,,,2
n51,n33,Directed,875,,,2
n51,n37,Directed,876,,,2
n51,n38,Directed,877,,,2
n51,n46,Directed,878,,,2
n51,n47,Directed,879,,,2
n51,n48,Directed,880,,,2
n51,n49,Directed,881,,,2
n51,n52,Directed,882,,,2
n51,n53,Directed,883,,,2
n51,n54,Directed,884,,,2
n51,n58,Directed,885,,,2
n51,n59,Directed,886,,,2
n51,n61,Directed,887,,,2
n51,n64,Directed,888,,,2
n52,n3,Directed,889,,,2
n52,n4,Directed,890,,,2
n52,n5,Directed,891,,,2
n52,n6,Directed,892,,,2
n52,n7,Directed,893,,,2
n52,n8,Directed,894,,,2
n52,n12,Directed,895,,,2
n52,n14,Directed,896,,,2
n52,n15,Directed,897,,,2
n52,n16,Directed,898,,,2
n52,n17,Directed,899,,,2
n52,n21,Directed,900,,,2
n52,n22,Directed,901,,,2
n52,n25,Directed,902,,,2
n52,n26,Directed,903,,,2
n52,n33,Directed,904,,,2
n52,n34,Directed,905,,,2
n52,n35,Directed,906,,,2
n52,n36,Directed,907,,,2
n52,n37,Directed,908,,,2
n52,n39,Directed,909,,,2
n52,n40,Directed,910,,,2
n52,n41,Directed,911,,,2
n52,n42,Directed,912,,,2
n52,n43,Directed,913,,,2
n52,n44,Directed,914,,,2
n52,n45,Directed,915,,,2
n52,n46,Directed,916,,,2
n52,n47,Directed,917,,,2
n52,n48,Directed,918,,,2
n52,n49,Directed,919,,,2
n52,n50,Directed,920,,,2
n52,n51,Directed,921,,,2
n52,n53,Directed,922,,,2
n52,n54,Directed,923,,,2
n52,n55,Directed,924,,,2
n52,n56,Directed,925,,,2
n52,n57,Directed,926,,,2
n52,n58,Directed,927,,,2
n52,n59,Directed,928,,,2
n52,n60,Directed,929,,,2
n52,n61,Directed,930,,,2
n52,n62,Directed,931,,,2
n52,n64,Directed,932,,,2
n53,n11,Directed,933,,,2
n53,n12,Directed,934,,,2
n53,n14,Directed,935,,,2
n53,n15,Directed,936,,,2
n53,n16,Directed,937,,,2
n53,n21,Directed,938,,,2
n53,n22,Directed,939,,,2
n53,n23,Directed,940,,,2
n53,n25,Directed,941,,,2
n53,n26,Directed,942,,,2
n53,n37,Directed,943,,,2
n53,n38,Directed,944,,,2
n53,n46,Directed,945,,,2
n53,n47,Directed,946,,,2
n53,n48,Directed,947,,,2
n53,n49,Directed,948,,,2
n53,n50,Directed,949,,,2
n53,n51,Directed,950,,,2
n53,n54,Directed,951,,,2
n53,n55,Directed,952,,,2
n53,n56,Directed,953,,,2
n53,n57,Directed,954,,,2
n53,n58,Directed,955,,,2
n53,n59,Directed,956,,,2
n53,n60,Directed,957,,,2
n53,n62,Directed,958,,,2
n54,n5,Directed,959,,,2
n54,n12,Directed,960,,,2
n54,n14,Directed,961,,,2
n54,n16,Directed,962,,,2
n54,n17,Directed,963,,,2
n54,n25,Directed,964,,,2
n54,n26,Directed,965,,,2
n54,n33,Directed,966,,,2
n54,n34,Directed,967,,,2
n54,n35,Directed,968,,,2
n54,n36,Directed,969,,,2
n54,n37,Directed,970,,,2
n54,n39,Directed,971,,,2
n54,n40,Directed,972,,,2
n54,n41,Directed,973,,,2
n54,n42,Directed,974,,,2
n54,n43,Directed,975,,,2
n54,n44,Directed,976,,,2
n54,n45,Directed,977,,,2
n54,n46,Directed,978,,,2
n54,n47,Directed,979,,,2
n54,n48,Directed,980,,,2
n54,n49,Directed,981,,,2
n54,n50,Directed,982,,,2
n54,n51,Directed,983,,,2
n54,n52,Directed,984,,,2
n54,n53,Directed,985,,,2
n54,n55,Directed,986,,,2
n54,n56,Directed,987,,,2
n54,n57,Directed,988,,,2
n54,n58,Directed,989,,,2
n54,n59,Directed,990,,,2
n54,n60,Directed,991,,,2
n54,n61,Directed,992,,,2
n54,n62,Directed,993,,,2
n54,n64,Directed,994,,,2
n55,n11,Directed,995,,,2
n55,n12,Directed,996,,,2
n55,n14,Directed,997,,,2
n55,n21,Directed,998,,,2
n55,n22,Directed,999,,,2
n55,n46,Directed,1000,,,2
n55,n47,Directed,1001,,,2
n55,n48,Directed,1002,,,2
n55,n49,Directed,1003,,,2
n55,n52,Directed,1004,,,2
n55,n53,Directed,1005,,,2
n55,n54,Directed,1006,,,2
n55,n58,Directed,1007,,,2
n55,n59,Directed,1008,,,2
n55,n61,Directed,1009,,,2
n55,n62,Directed,1010,,,2
n56,n27,Directed,1011,,,2
n56,n36,Directed,1012,,,2
n56,n37,Directed,1013,,,2
n56,n47,Directed,1014,,,2
n56,n49,Directed,1015,,,2
n56,n50,Directed,1016,,,2
n56,n51,Directed,1017,,,2
n56,n52,Directed,1018,,,2
n56,n53,Directed,1019,,,2
n56,n54,Directed,1020,,,2
n56,n55,Directed,1021,,,2
n56,n57,Directed,1022,,,2
n56,n58,Directed,1023,,,2
n56,n59,Directed,1024,,,2
n56,n60,Directed,1025,,,2
n56,n61,Directed,1026,,,2
n56,n62,Directed,1027,,,2
n56,n64,Directed,1028,,,2
n57,n37,Directed,1029,,,2
n57,n48,Directed,1030,,,2
n57,n49,Directed,1031,,,2
n57,n50,Directed,1032,,,2
n57,n51,Directed,1033,,,2
n57,n54,Directed,1034,,,2
n57,n56,Directed,1035,,,2
n57,n58,Directed,1036,,,2
n57,n59,Directed,1037,,,2
n57,n60,Directed,1038,,,2
n57,n61,Directed,1039,,,2
n57,n62,Directed,1040,,,2
n57,n64,Directed,1041,,,2
n58,n3,Directed,1042,,,2
n58,n4,Directed,1043,,,2
n58,n9,Directed,1044,,,2
n58,n10,Directed,1045,,,2
n58,n11,Directed,1046,,,2
n58,n12,Directed,1047,,,2
n58,n14,Directed,1048,,,2
n58,n15,Directed,1049,,,2
n58,n17,Directed,1050,,,2
n58,n18,Directed,1051,,,2
n58,n19,Directed,1052,,,2
n58,n21,Directed,1053,,,2
n58,n22,Directed,1054,,,2
n58,n26,Directed,1055,,,2
n58,n27,Directed,1056,,,2
n58,n32,Directed,1057,,,2
n58,n33,Directed,1058,,,2
n58,n35,Directed,1059,,,2
n58,n37,Directed,1060,,,2
n58,n50,Directed,1061,,,2
n58,n51,Directed,1062,,,2
n58,n52,Directed,1063,,,2
n58,n55,Directed,1064,,,2
n58,n56,Directed,1065,,,2
n58,n57,Directed,1066,,,2
n58,n59,Directed,1067,,,2
n58,n60,Directed,1068,,,2
n58,n62,Directed,1069,,,2
n58,n63,Directed,1070,,,2
n58,n64,Directed,1071,,,2
n59,n9,Directed,1072,,,2
n59,n10,Directed,1073,,,2
n59,n11,Directed,1074,,,2
n59,n12,Directed,1075,,,2
n59,n15,Directed,1076,,,2
n59,n17,Directed,1077,,,2
n59,n19,Directed,1078,,,2
n59,n20,Directed,1079,,,2
n59,n21,Directed,1080,,,2
n59,n23,Directed,1081,,,2
n59,n26,Directed,1082,,,2
n59,n27,Directed,1083,,,2
n59,n32,Directed,1084,,,2
n59,n33,Directed,1085,,,2
n59,n35,Directed,1086,,,2
n59,n37,Directed,1087,,,2
n59,n50,Directed,1088,,,2
n59,n51,Directed,1089,,,2
n59,n52,Directed,1090,,,2
n59,n55,Directed,1091,,,2
n59,n56,Directed,1092,,,2
n59,n57,Directed,1093,,,2
n59,n58,Directed,1094,,,2
n59,n60,Directed,1095,,,2
n59,n62,Directed,1096,,,2
n59,n64,Directed,1097,,,2
n60,n52,Directed,1098,,,2
n60,n53,Directed,1099,,,2
n60,n58,Directed,1100,,,2
n60,n59,Directed,1101,,,2
n60,n61,Directed,1102,,,2
n60,n62,Directed,1103,,,2
n60,n64,Directed,1104,,,2
n61,n56,Directed,1105,,,2
n61,n57,Directed,1106,,,2
n61,n58,Directed,1107,,,2
n61,n62,Directed,1108,,,2
n61,n63,Directed,1109,,,2
n61,n64,Directed,1110,,,2
n62,n35,Directed,1111,,,2
n62,n37,Directed,1112,,,2
n62,n48,Directed,1113,,,2
n62,n49,Directed,1114,,,2
n62,n50,Directed,1115,,,2
n62,n51,Directed,1116,,,2
n62,n52,Directed,1117,,,2
n62,n55,Directed,1118,,,2
n62,n56,Directed,1119,,,2
n62,n57,Directed,1120,,,2
n62,n58,Directed,1121,,,2
n62,n59,Directed,1122,,,2
n62,n60,Directed,1123,,,2
n62,n61,Directed,1124,,,2
n62,n63,Directed,1125,,,2
n62,n64,Directed,1126,,,2
n63,n58,Directed,1127,,,2
n63,n62,Directed,1128,,,2
n64,n15,Directed,1129,,,2
n64,n50,Directed,1130,,,2
n64,n51,Directed,1131,,,2
n64,n56,Directed,1132,,,2
n64,n57,Directed,1133,,,2
n64,n58,Directed,1134,,,2
n64,n59,Directed,1135,,,2
n64,n60,Directed,1136,,,2
n64,n62,Directed,1137,,,2
n64,n63,Directed,1138,,,2
