Source,Target,Type,Id,Label,timeset,Weight
n14,n37,Directed,198,,,2
n14,n38,Directed,199,,,2
n14,n39,Directed,200,,,2
n14,n40,Directed,201,,,2
n14,n41,Directed,202,,,2
n14,n42,Directed,203,,,2
n14,n43,Directed,204,,,2
n14,n44,Directed,205,,,2
n14,n45,Directed,206,,,2
n14,n46,Directed,207,,,2
n14,n47,Directed,208,,,2
n14,n49,Directed,209,,,2
n14,n51,Directed,210,,,2
n14,n53,Directed,211,,,2
n14,n58,Directed,212,,,2
n15,n3,Directed,213,,,2
n15,n4,Directed,214,,,2
n15,n5,Directed,215,,,2
n15,n6,Directed,216,,,2
n15,n7,Directed,217,,,2
n15,n8,Directed,218,,,2
n15,n12,Directed,219,,,2
n15,n17,Directed,220,,,2
n15,n19,Directed,221,,,2
n15,n20,Directed,222,,,2
n15,n25,Directed,223,,,2
n15,n26,Directed,224,,,2
n15,n28,Directed,225,,,2
n15,n29,Directed,226,,,2
n15,n32,Directed,227,,,2
n15,n33,Directed,228,,,2
n15,n34,Directed,229,,,2
n15,n35,Directed,230,,,2
n15,n37,Directed,231,,,2
n15,n38,Directed,232,,,2
n15,n39,Directed,233,,,2
n15,n40,Directed,234,,,2
n15,n41,Directed,235,,,2
n15,n43,Directed,236,,,2
n15,n44,Directed,237,,,2
n15,n45,Directed,238,,,2
n15,n46,Directed,239,,,2
n15,n47,Directed,240,,,2
n15,n50,Directed,241,,,2
n15,n51,Directed,242,,,2
n15,n52,Directed,243,,,2
n15,n53,Directed,244,,,2
n15,n59,Directed,245,,,2
n16,n2,Directed,246,,,2
n16,n5,Directed,247,,,2
n16,n12,Directed,248,,,2
n16,n14,Directed,249,,,2
n16,n17,Directed,250,,,2
n16,n59,Directed,251,,,2
n17,n4,Directed,252,,,2
n17,n12,Directed,253,,,2
n17,n15,Directed,254,,,2
n17,n25,Directed,255,,,2
n17,n26,Directed,256,,,2
n17,n47,Directed,257,,,2
n17,n48,Directed,258,,,2
n17,n49,Directed,259,,,2
n17,n50,Directed,260,,,2
n17,n51,Directed,261,,,2
n17,n59,Directed,262,,,2
n18,n19,Directed,263,,,2
n18,n20,Directed,264,,,2
n18,n22,Directed,265,,,2
n18,n23,Directed,266,,,2
n18,n26,Directed,267,,,2
n18,n50,Directed,268,,,2
n18,n51,Directed,269,,,2
n18,n58,Directed,270,,,2
n18,n59,Directed,271,,,2
n19,n18,Directed,272,,,2
n19,n20,Directed,273,,,2
n19,n21,Directed,274,,,2
n19,n22,Directed,275,,,2
n19,n23,Directed,276,,,2
n19,n25,Directed,277,,,2
n19,n26,Directed,278,,,2
n19,n27,Directed,279,,,2
n19,n50,Directed,280,,,2
n19,n51,Directed,281,,,2
n19,n58,Directed,282,,,2
n19,n59,Directed,283,,,2
n20,n18,Directed,284,,,2
n20,n19,Directed,285,,,2
n20,n22,Directed,286,,,2
n20,n23,Directed,287,,,2
n21,n18,Directed,288,,,2
n21,n20,Directed,289,,,2
n21,n22,Directed,290,,,2
n21,n23,Directed,291,,,2
n21,n52,Directed,292,,,2
n21,n53,Directed,293,,,2
n21,n55,Directed,294,,,2
n21,n58,Directed,295,,,2
n21,n59,Directed,296,,,2
n22,n18,Directed,297,,,2
n22,n19,Directed,298,,,2
n22,n20,Directed,299,,,2
n22,n21,Directed,300,,,2
n22,n23,Directed,301,,,2
n22,n26,Directed,302,,,2
n22,n52,Directed,303,,,2
n22,n53,Directed,304,,,2
n22,n55,Directed,305,,,2
n22,n58,Directed,306,,,2
n23,n18,Directed,307,,,2
n23,n20,Directed,308,,,2
n23,n21,Directed,309,,,2
n23,n22,Directed,310,,,2
n23,n26,Directed,311,,,2
n24,n18,Directed,312,,,2
n24,n20,Directed,313,,,2
n24,n22,Directed,314,,,2
n24,n23,Directed,315,,,2
n24,n26,Directed,316,,,2
n25,n2,Directed,317,,,2
n25,n6,Directed,318,,,2
n25,n11,Directed,319,,,2
n25,n12,Directed,320,,,2
n25,n14,Directed,321,,,2
n25,n15,Directed,322,,,2
n25,n16,Directed,323,,,2
n25,n17,Directed,324,,,2
n25,n18,Directed,325,,,2
n25,n19,Directed,326,,,2
n25,n20,Directed,327,,,2
n25,n26,Directed,328,,,2
n25,n33,Directed,329,,,2
n25,n42,Directed,330,,,2
n25,n43,Directed,331,,,2
n25,n44,Directed,332,,,2
n25,n45,Directed,333,,,2
n25,n46,Directed,334,,,2
n25,n47,Directed,335,,,2
n25,n48,Directed,336,,,2
n25,n49,Directed,337,,,2
n25,n52,Directed,338,,,2
n25,n53,Directed,339,,,2
n25,n58,Directed,340,,,2
n25,n59,Directed,341,,,2
n26,n2,Directed,342,,,2
n26,n4,Directed,343,,,2
n26,n6,Directed,344,,,2
